Field,year_2015,year_2016,year_2017,year_2018,year_2019,year_2020,year_2021
disabled_universe,S1810_C01_001,S1810_C01_001,S1810_C01_001,S1810_C01_001,S1810_C01_001,S1810_C01_001,S1810_C01_001
disabled_count,S1810_C02_001,S1810_C02_001,S1810_C02_001,S1810_C02_001,S1810_C02_001,S1810_C02_001,S1810_C02_001
disabled_percent,S1810_C03_001,S1810_C03_001,S1810_C03_001,S1810_C03_001,S1810_C03_001,S1810_C03_001,S1810_C03_001
ethnic_minority_universe,B03002_001,B03002_001,B03002_001,B03002_001,B03002_001,B03002_001,B03002_001
ethnic_minority_count,B03002_012,B03002_012,B03002_012,B03002_012,B03002_012,B03002_012,B03002_012
ethnic_minority_percent,NA,NA,NA,NA,NA,NA,NA
female_universe,S0101_C01_001,S0101_C01_001,S0101_C01_001,S0101_C01_001,S0101_C01_001,S0101_C01_001,S0101_C01_001
female_count,S0101_C03_001,S0101_C03_001,S0101_C05_001,S0101_C05_001,S0101_C05_001,S0101_C05_001,S0101_C05_001
female_percent,DP05_0003PE,DP05_0003PE,DP05_0003PE,DP05_0003PE,DP05_0003PE,DP05_0003PE,DP05_0003PE
foreign_born_universe,B05012_001,B05012_001,B05012_001,B05012_001,B05012_001,B05012_001,B05012_001
foreign_born_count,B05012_003,B05012_003,B05012_003,B05012_003,B05012_003,B05012_003,B05012_003
foreign_born_percent,NA,NA,NA,NA,NA,NA,NA
limited_english_proficiency_universe,S1601_C01_001,S1601_C01_001,S1601_C01_001,S1601_C01_001,S1601_C01_001,S1601_C01_001,S1601_C01_001
limited_english_proficiency_count,S1601_C05_001,S1601_C05_001,S1601_C05_001,S1601_C05_001,S1601_C05_001,S1601_C05_001,S1601_C05_001
limited_english_proficiency_percent,S1601_C06_001,S1601_C06_001,S1601_C06_001,S1601_C06_001,S1601_C06_001,S1601_C06_001,S1601_C06_001
low_income_universe,S1701_C01_001,S1701_C01_001,S1701_C01_001,S1701_C01_001,S1701_C01_001,S1701_C01_001,S1701_C01_001
low_income_count,S1701_C01_042,S1701_C01_042,S1701_C01_042,S1701_C01_042,S1701_C01_042,S1701_C01_042,S1701_C01_042
low_income_percent,NA,NA,NA,NA,NA,NA,NA
older_adults_universe,S0101_C01_001,S0101_C01_001,S0101_C01_001,S0101_C01_001,S0101_C01_001,S0101_C01_001,S0101_C01_001
older_adults_count,DP05_0025E,DP05_0025E,DP05_0025E,S0101_C01_030,S0101_C01_030,S0101_C01_030,S0101_C01_030
older_adults_percent,S0101_C02_028,S0101_C02_028,S0101_C02_030,S0101_C02_030,S0101_C02_030,S0101_C02_030,S0101_C02_030
racial_minority_universe,B02001_001,B02001_001,B02001_001,B02001_001,B02001_001,B02001_001,B02001_001
racial_minority_count,B02001_002,B02001_002,B02001_002,B02001_002,B02001_002,B02001_002,B02001_003...B02001_008
racial_minority_percent,NA,NA,NA,NA,NA,NA,NA
youth_universe,B03002_001,B03002_001,B03002_001,B03002_001,B03002_001,B03002_001,B03002_001
youth_count,B09001_001,B09001_001,B09001_001,B09001_001,B09001_001,B09001_001,B09001_001
youth_percent,NA,NA,NA,NA,NA,NA,NA
