County,D_PctEst,EM_PctEst,F_PctEst,FB_PctEst,LEP_PctEst,LI_PctEst,OA_PctEst,RM_PctEst,Y_PctEst
34005,11.5,7.6,50.8,9.4,4,16.6,15.9,27.5,21.4
34007,13.4,16.1,51.7,11.1,8.3,28.1,14.6,36.8,23.1
34015,12.8,5.8,51.4,5.5,2.9,18.3,14.5,18.3,22.7
34021,10.3,16.9,51.2,22.2,12.1,25.6,14.2,36.5,21.6
42017,10.8,5,50.9,8.8,4,16.3,17.1,11.5,21.1
42029,8.5,7.2,50.7,9.4,4.5,16.6,15,14.2,23.3
42045,11.8,3.6,51.9,10,4.3,23.8,15.4,30.3,22.2
42091,10,4.9,51.4,10.7,4.3,16.4,16.7,20.1,21.9
42101,15.9,14.1,52.7,13.4,10.6,47,12.9,58.4,22
