Variable,min_val,median_val,mean_val,sd_val,max_val
D_PctEst,0,11.9,12.63888888888889,5.352754051964974,41.5
EM_PctEst,0,4.774,9.217211102994886,12.979762184642546,90.625
F_PctEst,0,51.6,51.66230825420015,4.7921212679788425,71.3
FB_PctEst,0.093,8.365,10.821765522279035,8.713680959409615,63.723
LEP_PctEst,0,3.6,6.344558071585099,7.717613046701735,47.9
LI_PctEst,0,21.2265,28.08031067251462,20.3723247768674,92.453
OA_PctEst,0,14.4,15.228707085463842,6.785418329699459,69.7
RM_PctEst,0,22.08,33.530245434623815,29.298124378242928,100
Y_PctEst,0,21.71,21.542772826880935,6.034227868062784,44.745
